,chain,ms,n,percentage,a1,b1,a2,b2,s,pod_num,lamb_fit_xgb,lamb_ml_xgb,lambdaValue_fit,lambdaValue_ml,sTemp
0,1,0,22,0.9,-0.05869141323390111,6.628786775986482,-0.054752013919342805,5.840882116169483,0.3,17,5.945036888122559,5.857403755187988,5.599960826356921,4.881111519230415,6.6
1,2,0,100,0.1,-0.05869141323390111,6.628786775986482,-0.054752013919342805,5.840882116169483,0.3,17,5.945036888122559,5.857403755187988,5.599960826356921,4.881111519230415,30.0
2,1,1,10,0.9,-0.01123452242088,5.614173471660053,-0.032404005910630904,6.003988553587262,0.262,7,5.256417751312256,5.282618522644043,5.373433705498339,5.3096169983594566,2.62
3,2,1,60,0.1,-0.01123452242088,5.614173471660053,-0.032404005910630904,6.003988553587262,0.262,7,5.256417751312256,5.282618522644043,5.373433705498339,5.3096169983594566,15.72
4,1,2,16,0.9,-0.053269840523868225,6.885075715227627,-0.06773120591827309,6.747687539134651,0.287,14,6.708940505981445,6.618651390075684,6.093638084587299,5.7413953369203075,4.592
5,2,2,64,0.1,-0.053269840523868225,6.885075715227627,-0.06773120591827309,6.747687539134651,0.287,14,6.708940505981445,6.618651390075684,6.093638084587299,5.7413953369203075,18.368
6,1,3,26,0.9,-0.042652339415155935,5.7965746930549935,-0.04090825244827257,4.937894061231592,0.406,14,5.309720993041992,5.466305255889893,5.083671305687387,4.254141841739036,10.556000000000001
7,2,4,113,0.1,-0.09095864561442574,9.411370136404848,-0.08023273511156234,8.39355748468041,0.412,7,7.413600444793701,7.586094856262207,7.943037714343404,7.098371903593762,46.556
8,1,5,2,0.9,-0.0055511268551839965,3.552538994315813,-0.006542351979984224,3.491042342030406,0.542,2,3.173945665359497,3.1490094661712646,3.469272091488053,3.3929070623306425,1.084
9,2,5,12,0.1,-0.0055511268551839965,3.552538994315813,-0.006542351979984224,3.491042342030406,0.542,2,3.173945665359497,3.1490094661712646,3.469272091488053,3.3929070623306425,6.5040000000000004
10,2,6,18,0.1,-0.022175439950656236,3.3048135966808663,0.014718121637498749,2.7820398484279107,0.76,5,3.4696969985961914,3.884908437728882,3.224982012858504,2.835025086322906,13.68
11,1,7,3,0.9,-0.022854242966359996,2.41250569157654,-0.027908951690052638,2.4699927821783163,0.707,7,2.403046131134033,2.339782238006592,2.324353611563437,2.3623439685166847,2.121
12,1,8,1,0.9,-0.014705941894216146,4.164718349994059,-0.017860260546862294,3.730501657522772,0.597,1,3.861271381378174,3.432765245437622,3.944129221580817,3.462597749319838,0.597
13,2,8,6,0.1,-0.014705941894216146,4.164718349994059,-0.017860260546862294,3.730501657522772,0.597,1,3.861271381378174,3.432765245437622,3.944129221580817,3.462597749319838,3.582
14,1,9,8,0.9,-0.0343639154195163,3.968932110196141,-0.04783188630745715,4.214869925707608,0.684,14,3.8005635738372803,3.932136058807373,3.7283847022595267,3.8800467215554075,5.472
15,2,9,26,0.1,-0.0343639154195163,3.968932110196141,-0.04783188630745715,4.214869925707608,0.684,14,3.8005635738372803,3.932136058807373,3.7283847022595267,3.8800467215554075,17.784000000000002
16,1,10,11,0.9,-0.0835016694668252,5.929455980350157,-0.08286421916293223,5.178461013634202,0.594,14,5.532236576080322,5.437069892883301,5.0407596410246605,4.296548966828709,6.534
17,2,10,50,0.1,-0.0835016694668252,5.929455980350157,-0.08286421916293223,5.178461013634202,0.594,14,5.532236576080322,5.437069892883301,5.0407596410246605,4.296548966828709,29.7
18,1,11,4,0.9,-0.015757756803755445,3.353491422914499,-0.022112374317064032,3.4581788549766275,0.79,7,3.262523889541626,3.2939209938049316,3.2184249360251664,3.2686442179732214,3.16
19,2,11,24,0.1,-0.015757756803755445,3.353491422914499,-0.022112374317064032,3.4581788549766275,0.79,7,3.262523889541626,3.2939209938049316,3.2184249360251664,3.2686442179732214,18.96
